year,month,manufacturer,value
2023,10,江苏林海动力机械集团有限公司,3575.0
2023,10,重庆劲扬摩托车工业有限公司,1751.0
2023,10,广州福羊科技有限公司,1086.0
2023,10,浙江吉铭实业有限公司,3136.0
2023,10,浙江森铃摩托车有限公司,893.0
2023,10,西藏新珠峰摩托车有限公司,1215.0
2023,10,金翌车业有限公司,1067.0
2023,10,金城集团有限公司,456.0
2023,10,重庆万虎机电有限责任公司,747.0
2023,10,广州番禺豪剑摩托车工业有限公司,1014.0
2023,10,福建省晋江市三力机车有限公司,792.0
2023,10,杭州土星动力科技有限公司,88.0
2023,10,济南轻骑铃木摩托车有限公司,480.0
2023,10,浙江日雅摩托车有限公司,220.0
2023,10,康超集团广州摩托车制造有限公司,0.0
2023,10,立峰集团有限公司,177.0
2023,10,江苏林芝山阳集团有限公司,88.0
2023,10,广州五羊摩托有限公司,290.0
2023,10,宁波东方凌云车辆制造有限公司,96.0
2023,10,慈溪金轮机车制造有限公司,0.0
2023,10,江苏雄风机车有限公司,0.0
2023,10,广东大联统摩托车有限公司,0.0
2023,10,广东嘉纳仕科技实业有限公司,0.0
2023,10,重庆恒胜集团有限公司,0.0
2023,11,重庆隆鑫机车有限公司,137929.0
2023,11,江门市大长江集团有限公司,62203.0
2023,11,广东大冶摩托车技术有限公司,49000.0
2023,11,宗申产业集团有限公司,47449.0
2023,11,重庆银翔摩托车集团有限公司,43849.0
2023,11,新大洲本田摩托(苏州)有限公司,31856.0
2023,11,广州豪进摩托车股份有限公司,29292.0
2023,11,力帆实业（集团）股份有限公司,22124.0
2023,11,广州大运摩托车有限公司,21012.0
2023,11,重庆航天巴山摩托车制造有限公司,17656.0
2023,11,重庆润通智能装备有限公司,17623.0
2023,11,广州天马集团天马摩托车有限公司,21000.0
2023,11,厦门厦杏摩托有限公司,10071.0
2023,11,五羊-本田摩托（广州）有限公司,12402.0
2023,11,洛阳北方企业集团有限公司,10699.0
2023,11,广州三雅摩托车有限公司,12891.0
2023,11,浙江钱江摩托股份有限公司,18368.0
2023,11,鹤山国机南联摩托车工业有限公司,12356.0
2023,11,重庆建设机电有限责任公司,9233.0
2023,11,广东星际机车科技有限公司,18066.0
2023,11,珠海珠江车业有限公司,11320.0
2023,11,浙江嘉爵摩托车制造有限公司,4898.0
2023,11,重庆鑫源摩托车股份有限公司,11141.0
2023,11,长铃集团长春摩托车工业有限公司,9000.0
2023,11,江苏众星摩托有限公司,7585.0
2023,11,江门市长华集团有限公司,3673.0
2023,11,台州市王野机车有限责任公司,6946.0
2023,11,常州光阳摩托车有限公司,4380.0
2023,11,浙江春风动力股份有限公司,8393.0
2023,11,重庆望江摩托车制造有限公司,6194.0
2023,11,重庆嘉陵工业有限公司,4552.0
2023,11,宁波市龙嘉摩托车有限公司,6346.0
2023,11,江门市华龙摩托车有限公司,7431.0
2023,11,三友控股集团银友摩托车有限公司,5500.0
2023,11,宁波市龙嘉动力科技有限公司,3480.0
2023,11,济南大隆机车工业有限公司,5976.0
2023,11,济南轻骑摩托车有限公司,2553.0
2023,11,江门市迪豪摩托车有限公司,3470.0
2023,11,浙江天本车业有限公司,4268.0
2023,11,重庆银钢科技(集团)有限公司,2583.0
2023,11,增城市东阳摩托车实业有限公司,2276.0
2023,11,重庆光宇摩托车制造有限公司,993.0
2023,11,江苏林海动力机械集团有限公司,2568.0
2023,11,浙江吉铭实业有限公司,3100.0
2023,11,重庆新感觉摩托车有限公司,975.0
2023,11,重庆劲扬摩托车工业有限公司,1279.0
2023,11,广州福羊科技有限公司,444.0
2023,11,浙江森铃摩托车有限公司,957.0
2023,11,西藏新珠峰摩托车有限公司,1250.0
2023,11,金翌车业有限公司,415.0
2023,11,金城集团有限公司,72.0
2023,11,重庆万虎机电有限责任公司,676.0
2023,11,广州番禺豪剑摩托车工业有限公司,804.0
2023,11,福建省晋江市三力机车有限公司,792.0
2023,11,济南轻骑铃木摩托车有限公司,1130.0
2023,11,杭州土星动力科技有限公司,197.0
2023,11,浙江日雅摩托车有限公司,0.0
2023,11,康超集团广州摩托车制造有限公司,1.0
2023,11,立峰集团有限公司,80.0
2023,11,江苏林芝山阳集团有限公司,178.0
2023,11,广州五羊摩托有限公司,82.0
2023,11,宁波东方凌云车辆制造有限公司,36.0
2023,11,慈溪金轮机车制造有限公司,0.0
2023,11,江苏雄风机车有限公司,0.0
2023,11,广东大联统摩托车有限公司,0.0
2023,11,广东嘉纳仕科技实业有限公司,0.0
2023,11,重庆恒胜集团有限公司,0.0
2023,12,重庆隆鑫机车有限公司,132087.0
2023,12,江门市大长江集团有限公司,69243.0
2023,12,广东大冶摩托车技术有限公司,41185.0
2023,12,宗申产业集团有限公司,49124.0
2023,12,重庆银翔摩托车集团有限公司,37654.0
2023,12,广州豪进摩托车股份有限公司,49085.0
2023,12,新大洲本田摩托(苏州)有限公司,21325.0
2023,12,力帆实业（集团）股份有限公司,14722.0
2023,12,广州大运摩托车有限公司,21026.0
2023,12,重庆航天巴山摩托车制造有限公司,19369.0
2023,12,广州天马集团天马摩托车有限公司,22007.0
2023,12,重庆润通智能装备有限公司,17734.0
2023,12,厦门厦杏摩托有限公司,13743.0
2023,12,五羊-本田摩托（广州）有限公司,10494.0
2023,12,洛阳北方企业集团有限公司,9932.0
2023,12,广州三雅摩托车有限公司,16503.0
2023,12,浙江钱江摩托股份有限公司,15872.0
2023,12,广东星际机车科技有限公司,14762.0
2023,12,鹤山国机南联摩托车工业有限公司,10458.0
2023,12,重庆建设机电有限责任公司,8669.0
2023,12,重庆鑫源摩托车股份有限公司,16390.0
2023,12,珠海珠江车业有限公司,7126.0
2023,12,浙江嘉爵摩托车制造有限公司,4253.0
2023,12,长铃集团长春摩托车工业有限公司,8135.0
2023,12,江苏众星摩托有限公司,8477.0
2023,12,台州市王野机车有限责任公司,5877.0
2023,12,江门市长华集团有限公司,4244.0
2023,12,浙江春风动力股份有限公司,8399.0
2023,12,常州光阳摩托车有限公司,3370.0
2023,12,重庆望江摩托车制造有限公司,6100.0
2023,12,宁波市龙嘉摩托车有限公司,6900.0
2023,12,江门市华龙摩托车有限公司,7070.0
2023,12,重庆嘉陵工业有限公司,2704.0
2023,12,三友控股集团银友摩托车有限公司,2245.0
2023,12,宁波市龙嘉动力科技有限公司,3426.0
2023,12,济南大隆机车工业有限公司,2919.0
2023,12,浙江天本车业有限公司,3837.0
2023,12,济南轻骑摩托车有限公司,3527.0
2023,12,江门市迪豪摩托车有限公司,2498.0
2023,12,重庆银钢科技(集团)有限公司,5033.0
2023,12,重庆光宇摩托车制造有限公司,3696.0
2023,12,增城市东阳摩托车实业有限公司,2200.0
2023,12,重庆新感觉摩托车有限公司,7033.0
2023,12,江苏林海动力机械集团有限公司,1995.0
2023,12,浙江吉铭实业有限公司,2080.0
2023,12,重庆劲扬摩托车工业有限公司,2570.0
2023,12,广州福羊科技有限公司,2119.0
2023,12,西藏新珠峰摩托车有限公司,1350.0
2023,12,浙江森铃摩托车有限公司,957.0
2023,12,金翌车业有限公司,146.0
2023,12,金城集团有限公司,589.0
2023,12,广州番禺豪剑摩托车工业有限公司,1014.0
