year,month,indicator,scope,category,type,value
2016,3,销售,三轮,400ml<排量≤750ml,排量,1352.0
2016,3,销售,三轮,50ml<排量≤100ml,排量,6321.0
2016,3,销售,三轮,排量>750ml,排量,892.0
2016,3,销售,三轮,排量≤50ml,排量,0.0
2016,3,销售,三轮,电动摩托车,排量,0.0
2016,3,销售,三轮,三轮,汇总,179171.0
2016,3,销售,三轮,正三轮,车型,179100.0
2016,3,销售,三轮,边三轮,车型,71.0
2016,3,销售,二轮,100ml<排量≤110ml,排量,263864.0
2016,3,销售,二轮,110ml<排量≤125ml,排量,512123.0
2016,3,销售,二轮,125ml<排量≤150ml,排量,297466.0
2016,3,销售,二轮,150ml<排量≤250ml,排量,64346.0
2016,3,销售,二轮,250ml<排量≤400ml,排量,2332.0
2016,3,销售,二轮,400ml<排量≤750ml,排量,228.0
2016,3,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,3,销售,二轮,60ml<排量≤70ml,排量,6652.0
2016,3,销售,二轮,70ml<排量≤80ml,排量,884.0
2016,3,销售,二轮,80ml<排量≤90ml,排量,4062.0
2016,3,销售,二轮,90ml<排量≤100ml,排量,75452.0
2016,3,销售,二轮,排量>750ml,排量,0.0
2016,3,销售,二轮,排量≤50ml,排量,69494.0
2016,3,销售,二轮,电动摩托车,排量,9777.0
2016,3,销售,二轮,二轮,汇总,1306680.0
2016,3,销售,二轮,其它式,车型,0.0
2016,3,销售,二轮,弯梁式,车型,246797.0
2016,3,销售,二轮,踏板式,车型,274454.0
2016,3,销售,二轮,骑式式,车型,785429.0
2016,3,销售,总计,总计,汇总,1485851.0
2016,4,生产,三轮,125ml<排量≤150ml,排量,92530.0
2016,4,生产,三轮,150ml<排量≤250ml,排量,82397.0
2016,4,生产,三轮,250ml<排量≤400ml,排量,771.0
2016,4,生产,三轮,400ml<排量≤750ml,排量,1177.0
2016,4,生产,三轮,50ml<排量≤100ml,排量,4807.0
2016,4,生产,三轮,排量>750ml,排量,552.0
2016,4,生产,三轮,排量≤50ml,排量,0.0
2016,4,生产,三轮,电动摩托车,排量,0.0
2016,4,生产,三轮,三轮,汇总,182234.0
2016,4,生产,三轮,正三轮,车型,182232.0
2016,4,生产,三轮,边三轮,车型,2.0
2016,4,生产,二轮,100ml<排量≤110ml,排量,221467.0
2016,4,生产,二轮,110ml<排量≤125ml,排量,492935.0
2016,4,生产,二轮,125ml<排量≤150ml,排量,275121.0
2016,4,生产,二轮,150ml<排量≤250ml,排量,71117.0
2016,4,生产,二轮,250ml<排量≤400ml,排量,3448.0
2016,4,生产,二轮,400ml<排量≤750ml,排量,814.0
2016,4,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,4,生产,二轮,60ml<排量≤70ml,排量,8427.0
2016,4,生产,二轮,70ml<排量≤80ml,排量,731.0
2016,4,生产,二轮,80ml<排量≤90ml,排量,5974.0
2016,4,生产,二轮,90ml<排量≤100ml,排量,67496.0
2016,4,生产,二轮,排量>750ml,排量,0.0
2016,4,生产,二轮,排量≤50ml,排量,84942.0
2016,4,生产,二轮,电动摩托车,排量,5520.0
2016,4,生产,二轮,二轮,汇总,1237992.0
